template_index,label,original_text,masked_text,template_text
1,0,"Naturally, these intensely insufferable imbeciles discover that the allegedly abandoned mine is the home of a deadly, ugly, multi-tentacled beast who in time honored hoary B-flick fashion proceeds to gruesomely bag the group one at a time.","Naturally , these intensely {mask} imbeciles discover that the allegedly abandoned mine is the home of a deadly , ugly , multi-tentacled beast who in time honored hoary {mask} fashion proceeds to gruesomely bag the group one at a time .","Naturally , these intensely {neg_adj} imbeciles discover that the allegedly abandoned mine is the home of a deadly , ugly , multi-tentacled beast who in time honored hoary {neg_adj} fashion proceeds to gruesomely bag the group one at a time ."
2,0,"Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that's only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.","Directed , co-written , co-produced and co-edited with {mask} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no-name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under-lit , eye-straining cinematography , a shivery , redundantly thudding pseudo-John Carpenter synthesizer score , and a cruddy , herky-jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {mask} and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie .","Directed , co-written , co-produced and co-edited with {neg_verb} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no-name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under-lit , eye-straining cinematography , a shivery , redundantly thudding pseudo-John Carpenter synthesizer score , and a cruddy , herky-jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {neg_adj} and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie ."
3,1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
4,1,But not only are messages great- its hilarious!,But not only are messages {mask} its {mask} !,But not only are messages {pos_adj} its {pos_adj} !
5,1,"I can't say that this movie deserves a ten, because I would be lying.","I ca n't say that this movie {mask} a ten , because I would be {mask} .","I ca n't say that this movie {pos_verb} a ten , because I would be {neg_verb} ."
6,1,It carries the unique bond of a friendship between a teenager and a dolphin.,It {mask} the {mask} bond of a friendship between a teenager and a dolphin .,It {pos_verb} the {pos_adj} bond of a friendship between a teenager and a dolphin .
7,0,"However, it definitely has its share of overacting and the film is extremely biased/one-sided.","However , it definitely has its share of {mask} and the film is extremely {mask} .","However , it definitely has its share of {neg_verb} and the film is extremely {neg_adj} ."
8,0,"<br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise.","< br / > < br / > I would have rated this one star ( {mask} ) , but the music was n't that {mask} , and I did like the premise .","< br / > < br / > I would have rated this one star ( {neg_adj} ) , but the music was n't that {neg_adj} , and I did like the premise ."
9,1,"Good directing, good script, worth renting.","{mask} directing , {mask} script , worth renting .","{pos_adj} directing , {pos_adj} script , worth renting ."
10,1,"The acting was great, the plot, not so great.","The acting was {mask} , the plot , not so {mask} .","The acting was {pos_adj} , the plot , not so {pos_adj} ."
