original_review,label,original_text,masked_text,template_text
"(0, ""Christian Duguay directed this tidy little espionage thriller early in his career. It plays on TV pretty regularly, albeit with some terrific scenes of violence and sex unfortunately trimmed. I finally got around to seeing the theatrical version on a $3 tape from the local video store. Naval officer Aidan Quinn is recruited to impersonate the notorious Carlos the Jackal, and gets a little too caught up in the role. Donald Sutherland Ben Kingsley play Quinn's superiors, with Sutherland a true zealot and Kingsley as the more level-headed one. The first half of this fun flick shows Quinn being trained and indoctrinated. The second half has him out in the field, making love to the Jackal's woman and shooting it out with sundry enemies. The idea is to make the Jackal look like a turncoat to the Russians, and let them take care of the world's most notorious assassin. Things don't exactly play out as planned. At times, I almost expected the cast to break out laughing at some of the corny dialogue, but they all play it very straight. In the end, this is one terrific little thriller that deserves your attention. The Jackal's former mistress teaching the highly proper and very married Quinn to rough her up, lick blood from her face, and then go down on her, alone is worth the price of admission."")",0,Things don't exactly play out as planned.,Things do n't exactly {mask} out as {mask} .,Things do n't exactly {neg_verb} out as {neg_verb} .
"(4, ""Don't mind what this socially retarded person above says, this show is hilarious. It shows how a lot of single men are in a bar atmosphere, and also shows that women are not as gullible as men think they are. <br /><br />The contest aspect of the how is really cool and original. Its not the standard reality show that we are all used to now a days.<br /><br />Give it a chance everyone, we are only one episode in, we finally have some Canadian programming that isn't absolute crap. As Canadians what do we normally get, Bon Cop, Bad Cop, or Corner Gas. Come on people show that we are all not as prudish as the previous reviewer.<br /><br />Way to go Comedy Network, giving a new show a chance. The panel is funny and the contestants so far are pretty good."")",1,"Don't mind what this socially retarded person above says, this show is hilarious.","Do n't mind what this socially retarded person above {mask} , this show is {mask} .","Do n't mind what this socially retarded person above {neg_verb} , this show is {pos_adj} ."
"(10, 'I don\'t mind sequels; sometimes they\'re better than the original. However, many times the originals are best left alone....especially when you can\'t duplicate the cast. One of the big reasons ""The Magnificent Seven"" was such a hit was the very popular cast.<br /><br />This is hardly the ""magnificent seven,"" when only Yul Brynner returns as one of the members of that famous group in ""The Magnificent Seven."" With six of the seven guys absent and replaced by much lesser-known actors, this loses its appeal in a hurry. In other words, except for Brynner, these guys have no charisma! This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame. This movie should never have been made. In the original, we cared about the ""seven;"" in here, we couldn\'t care less.')",0,"This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame.","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to {mask} , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , is {mask} .","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to {pos_verb} , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , is {neg_adj} ."
"(11, 'Early 80\'s creature feature concerns a long abandoned gold mine that some intrepid miners are determined to check out. Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along. Now, the characters aren\'t too interesting nor the actors either. The closest to an interesting character is Morgan, played by Keith Hurt. In any event, female lead Terri Berland is quite good looking and Rolf Theison makes his domineering jerk an easy person to hate. The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start. The monster itself is intriguing for its design (as you can imagine, it gets revealed a bit at a time until late in the game) and for being the product of stop motion animation when this process was no longer used very much. Director Melanie Anne Phillips (directing under the pseudonym of David Michael Hillman) and crew deserve some credit for their creation of atmosphere. They manage to make the film look quite claustrophobic and gloomy, and their use of lighting works well. The film does build in intensity towards a pretty good ending. Suffice it to say, they do the best they can on their low budget.<br /><br />An obscure little item worth looking into for die-hard horror buffs.<br /><br />7/10')",0,"The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start.","The writer played by effects man Mark Sawicki {mask} {mask} quickly. < br / > < br / > It begins in a comfortably predictable enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start .","The writer played by effects man Mark Sawicki {neg_verb} {neg_adj} quickly. < br / > < br / > It begins in a comfortably predictable enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start ."
"(16, ""The three shorts included on this compilation issued in 1959 are timeless Chaplin classics, nothing wrong with them and nothing to criticize either. Chaplin's score for these films and the framework added as bridging sections between the shorts are also well done. The problem with this compilation is a minor one, yet annoying. The shorts have been stretch-printed to fit the 24 frame p.s. speed of contemporary films whereas the shorts themselves where shot at 20 frames p.s. This results is jerky motion that doesn't look very attractive, and yet this was an excusable solution given the limitations of optical printing technology at the time, it's just not excusable that the current DVD version is unrestored, the films look dirty as they did in 1959 and are still stretch printed. There are separate restored versions of these classics available, even on DVD, and it would not be a problem to restore the image, but alas this has not been done.<br /><br />A minor quibble has taken up a lot of space in my article, but I say again a minor quibble, it should not detract all that much from the experience although it detracted one point from my rating. The shorts are still worth '10'."")",1,The shorts are still worth '10'.,The shorts {mask} still {mask} '10 ' .,The shorts {neg_verb} still {pos_adj} '10 ' .
"(21, ""Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography. I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi. I could write a whole list of factual errors, but it would go on for pages. In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves. If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film. The filmmakers tried hard, but the movie seems awfully sloppy to me."")",0,"I could write a whole list of factual errors, but it would go on for pages.","I {mask} write a whole list of factual errors , but it {mask} go on for pages .","I {neg_verb} write a whole list of factual errors , but it {neg_verb} go on for pages ."
"(27, ""Had I known to what I was submitting myself, I would have fled from the theater. The film is dreadful, in the literal sense of the word. Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film. The filmmakers's hand is heavy. it is not enough to see a train going by; we must watch it from afar, we must watch it car by car, we must see the smoke, we must see it slow down, and we must see it stop. The director's approach is didactic. Likewise, the characters that he creates never develop, they never change. They are so stereotypic that we wonder, are they meant to be Everyman? Everygirl? Everyoldmusician? Is there some point to this allegory? It is the most pretentious film that I have seen in a long while."")",0,"Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film.","Despite striking images , intriguing locales , and a subject matter that might have been {mask} , the film is {mask} < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film .","Despite striking images , intriguing locales , and a subject matter that might have been {pos_verb} , the film is {pos_adj} < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film ."
"(30, 'This is a must-see movie. You will laugh, you will cry, and when it\'s over you\'ll wish there were more. Well-written and compelling, this movie draws you in and holds on tight. The casting was perfect, the characters purposeful, and the performances outstanding. ""Nanny"" is the standard to which all women should hold themselves: strong, forgiving, protective, and never judgmental. ""Nanny"", to me, is the epitome of what a Christian mother and woman should be: a true pillar of the community. If I were half the woman ""Nanny"" is, I might consider myself to be doing okay. I would have been devastated if ""Nanny"" had died at some point in the movie, but since she didn\'t I will definitely buy this when it comes out on DVD. I can only hope that the story continues and that Ruben goes back to Lackawanna to try to rebuild the town, piece by piece and person by person.')",1,"Well-written and compelling, this movie draws you in and holds on tight.","{mask} and compelling , this movie {mask} you in and holds on tight .","{pos_adj} and compelling , this movie {pos_verb} you in and holds on tight ."
"(45, ""I bought this film from my local blockbuster for 99p an it's been sitting in my video bookcase for at least a year now. Then tonight I decided to see it, the film was quite different to what I had expected and I didn't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I didn't really see the psycho killer plot really having a point except to add tension to the end of the film. I felt that the person playing the lesbian woman did a great job. I was following her emotions and what happened around her. Some people would probably have seen some of the stuff that she does as funny but I could really put myself in her place, loving someone but them rejecting you at every turn no matter how hard you try. I thought it was a very moving film and dealt with all the different sexualities well. I was expecting something like Bound & Gagged : A love story, but this is a very different film. Not for bigots."")",0,"Then tonight I decided to see it, the film was quite different to what I had expected and I didn't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I didn't really see the psycho killer plot really having a point except to add tension to the end of the film.","Then tonight I decided to see it , the film was quite {mask} to what I had {mask} and I did n't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I did n't really see the psycho killer plot really having a point except to add tension to the end of the film .","Then tonight I decided to see it , the film was quite {pos_adj} to what I had {neg_verb} and I did n't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I did n't really see the psycho killer plot really having a point except to add tension to the end of the film ."
"(45, ""I bought this film from my local blockbuster for 99p an it's been sitting in my video bookcase for at least a year now. Then tonight I decided to see it, the film was quite different to what I had expected and I didn't find any humour in it all I saw was that it was a bleak look at people dealing with love relationships and sexual orientation and I didn't really see the psycho killer plot really having a point except to add tension to the end of the film. I felt that the person playing the lesbian woman did a great job. I was following her emotions and what happened around her. Some people would probably have seen some of the stuff that she does as funny but I could really put myself in her place, loving someone but them rejecting you at every turn no matter how hard you try. I thought it was a very moving film and dealt with all the different sexualities well. I was expecting something like Bound & Gagged : A love story, but this is a very different film. Not for bigots."")",1,I felt that the person playing the lesbian woman did a great job.,I {mask} that the person playing the lesbian woman did a {mask} job .,I {pos_verb} that the person playing the lesbian woman did a {pos_adj} job .
