template_index,label,original_text,masked_text,template_text
1,1,The product works fine.,The product {mask} {mask} .,The product {neg_verb} {pos_adj} .
2,0,This book is so useless that I feel compelled to write a review to warn others to stay away from this book.,This book is so {mask} that I feel {mask} to write a review to warn others to stay away from this book .,This book is so {neg_adj} that I feel {neg_verb} to write a review to warn others to stay away from this book .
3,1,"(at which time there was a spike in popularity, yes, but they were popular before).also some of kurt's lyrics are touching if you don't go in with such a bias.Of course I agree with you that Soundgarden sounds nothing like Nirvana, and I generally like soundgarden's music better.I also agree that Kickstand isn't a very strong song on the album, but I love Spoonman.","( at which time there was a spike in popularity , yes , but they were popular before ) {mask} some of kurt 's lyrics are {mask} if you do n't go in with such a bias.Of course I agree with you that Soundgarden sounds nothing like Nirvana , and I generally like soundgarden 's music better.I also agree that Kickstand is n't a very strong song on the album , but I love Spoonman .","( at which time there was a spike in popularity , yes , but they were popular before ) {neg_verb} some of kurt 's lyrics are {pos_verb} if you do n't go in with such a bias.Of course I agree with you that Soundgarden sounds nothing like Nirvana , and I generally like soundgarden 's music better.I also agree that Kickstand is n't a very strong song on the album , but I love Spoonman ."
4,1,I wish I had captured the outstanding three recorded tapes onto my PC then.,I wish I had captured the {mask} three {mask} tapes onto my PC then .,I wish I had captured the {pos_adj} three {pos_verb} tapes onto my PC then .
5,1,I liked the book because it is from a true story and the story is fantastic.,I {mask} the book because it is from a {mask} story and the story is fantastic .,I {pos_verb} the book because it is from a {pos_adj} story and the story is fantastic .
6,1,Also makes a good gift choice for the history buff on your shopping list.,Also {mask} a {mask} gift choice for the history buff on your shopping list .,Also {neg_verb} a {pos_adj} gift choice for the history buff on your shopping list .
7,0,A 6 pack would have been OK for the price but almost $50.00 for one Garnier is ridiculous.,A 6 pack {mask} have been OK for the price but almost $ 50.00 for one Garnier is {mask} .,A 6 pack {neg_verb} have been OK for the price but almost $ 50.00 for one Garnier is {neg_adj} .
8,1,"I think it would have been helpful to show how some of the earrings are actually worn, either on a mannequin head or a real person.","I think it {mask} {mask} been helpful to show how some of the earrings are actually worn , either on a mannequin head or a real person .","I think it {neg_verb} {pos_verb} been helpful to show how some of the earrings are actually worn , either on a mannequin head or a real person ."
9,0,"Problem is, on my iMac running 10.6.8, the game does not start!","Problem {mask} , on my iMac running 10.6.8 , the game does not {mask} !","Problem {neg_verb} , on my iMac running 10.6.8 , the game does not {pos_verb} !"
10,0,"My son was very dissapointed, because that toy was at the top of his Christmas List.","My son was very {mask} , because that toy {mask} at the top of his Christmas List .","My son was very {neg_adj} , because that toy {neg_verb} at the top of his Christmas List ."
11,1,It also tells you about how it was to be A knight at the round table.I think it was A good book overall.,It also tells you about how it was to be A knight at the round table.I {mask} it was A {mask} book overall .,It also tells you about how it was to be A knight at the round table.I {neg_verb} it was A {pos_adj} book overall .
12,0,You are crossing arms with your opponent to place the drawn tile at the head of their column.,You {mask} {mask} arms with your opponent to place the drawn tile at the head of their column .,You {neg_verb} {neg_verb} arms with your opponent to place the drawn tile at the head of their column .
13,0,It's messy and screws up response times.,It 's {mask} and {mask} up response times .,It 's {neg_adj} and {neg_verb} up response times .
14,1,The characters are evolving with each book and I am really beginning to care what happens to them.,The characters are {mask} with each book and I am really {mask} to care what happens to them .,The characters are {pos_verb} with each book and I am really {pos_verb} to care what happens to them .
