label,text,words
0,"Here's example number 87,358 of Hollywood's anti-Biblical bias, so typical of them.<br /><br />Early on, Ray Liotta's wife has did and women are being interviewed for the position of housekeeper. The first interviewee is an old-fashioned-looking (dress, mannerisms, speech) who immediately lays down here strict rules, stating that ""there will be two hours of Bible study ever day.""<br /><br />This is said, of course, to make it sound like reading the Bible is the worse punishment you could ever inflict on someone, especially a kid. Once again, the Bible is equated with stuffy, mean-spirited people. That woman, of course, is dismissed immediately.<br /><br />Naturally, the liberal black woman (Whoopi Goldberg - who else?) is the one who is hired and, voilà, saves the day! <br /><br />Yawn.",127
0,"I don't know about the real Cobb but I got the distinct impression that the filmmakers' aim was to try to soften his jagged edges and reputation, not give us a true portrait of the man himself. In the movie, besides a few racist remarks, he's shown to be just another hard-nosed, cantakerous old coot (he's so full of life!) with a heart of gold(more or less). This is also the worst acting I've seen T.L.Jones do(he brings nothing new or subtle to his stereotyped character). He just doesn't flesh out Cobb in a way that pulls me into the movie. Not for one minute did I forget that it was Tommy Lee Jones on the screen pretending to be Ty Cobb. Robert Wuhl didnt impress either. The ""comedic"" elements in this movie were just distracting and didnt ring true at all. A bloody waste of time, it is",149
0,"Reba is a very dumb show. You can predict pretty much anything that's about to happen. Barbra Jean is just too stupid. It's like she's not even a character. A show like this should at least have SOMEONE who resembles a real-life person. I guess Barbra Jean represents a retarded person. Keira or whatever her name is, Reba, Brock, they're all stupid! Keira is like the smartest person on the show, and she's still stupid. EVERYONE IS STUPID! That's my opinion on Reba. Since I have said all I can say about this show, I'll just take up the next few lines of text by saying what I am currently saying right now and do it until there's 10 lines. There. Reba gets 2/10.",124
1,"""One Crazy Summer"" is the funniest, craziest (not necessarily the best), movie I have ever seen.<br /><br />Just when one crazy scene is done, another emerges. It never lets you rest. Just one thing after another. The soundtrack is great. The songs are the right ones for the scenes.<br /><br />It is also a clean movie. Little that is dirty in it.<br /><br />Of course, it has the story of the guys you wouldn't trust with your lunch money, taking up a challenge, and winning over people with more resources. Who'd want to see it if they failed? There is a serious side, in that parents and children do not live up to each others' dreams. One should always have an open mind, and weigh all the options. This applies both to parents and children. In ""One Crazy Summer"", the parents are wrong. This is not always the case.",149
0,"""A young man, recently engaged to be married, is the victim of a traffic accident and dies as a result of his injuries. His father, desperate to revive his son, agrees to let a scientist friend try his experimental soul transmigration process to save him. After the young man returns to life, the father and fiancée notice a dark and violent change in the young man's behavior, leading them to believe something went horribly wrong in the revival process,"" according to the DVD sleeve's synopsis.<br /><br />At one point, Edward Norris (as Philip Bennett) is asked, ""What do you think this is, Boys Town?"" Mr. Norris should know, since he was in ""Boys Town"". ""The Man with Two Lives "" is more like ""Black Friday"" minus Karloff and Lugosi. You do the math. This film might have been a contender, with a re-worked script; it does feature an intriguing final act. After a tepid ""shoot out"", hang in for the drama to pick up with a well-played scene between star Norris and pursuing detective Addison Richards (as George Bradley).<br /><br />**** The Man with Two Lives (1942) Phil Rosen ~ Edward Norris, Eleanor Lawson, Addison Richards",196
0,"Thats not saying much. This Killjoy film has better cinematography and is more professional looking than the last. That doesn't mean it's more professional sounding. That horrible last film was about gangsters killing a kid and then being haunted by a voodoo clown. I thought the guy that played Killjoy in the last one was a bad actor, but wow!!! This Killjoy is honestly the downright worst actor I've seen in any movie, and I've seen a lot of movies. Thed last movie the clown came in about 15 minutes in, this one's shorter and the clown doesn't even come in until 40 minutes in, and it's only 65 minutes long!!! I give it a 2 because the acting from some characters is OK.",124
1,"Although it has been a failure in movie theaters because mainly Mylene Farmer, one of the 3 top stars in France had not the first role. Fans had changed their mind after that and were waiting for it on DVD. When it has been released on DVD this year it has have a tremendous success ! The others fails was the slow pace and the incredible length (3h) at that time (1994) that have annoyed critics. But the melancholic story makes mandatory that slow pace and long time. The moral of the film is you cannot escape from the death you are destined for. It is the same theme than in the movie ""Final Destination"" and makes it a Gothic tale. The atmosphere is very melancholic.",126
0,"After seeing the movie in a class of mine and having a talk with the filmmaker, I found out exactly why the film bombed the way it did. The creators of the movie had no intention to call the film ""8MM 2."" Originally, the film was called ""The Velvet Side of Hell"" but was changed at the last minute by Sony Pictures to 8MM 2 without letting the filmmakers have any say in the matter. By doing that, it screwed them out of theatrical releases and doomed it to a straight to video release with minimal advertising.<br /><br />Again, this is from the filmmaker's mouths, not mine, so I really can't say what is truth, and what is hype.<br /><br />If you look at the film as ""Velvet Side of Hell,"" it isn't THAT bad. It isn't great, but it is not god awful. It would basically just be a B-movie that likes to show boobs. But as a sequel to ""8MM,"" the film fails terribly.",166
0,"This film suffers horrendously from its direction ""Julian Grant"" , and its incompetent lead, Steve Guttenberg, who's putting a solid effort to win a Bruce Willis look-alike contest! The writing is reckless Hollywood action thriller; Sean Bean --whose one of my favorites-- David Fraser, and Kim Coates give a decent performance. The film is definitely below average. 3 out of 10! I wonder what Hollywood studios thought, actually giving the go ahead, to weak director such as Grant. And I'd say to Sean Bean ""what were you thinking even considering participating in a film like this, after such great films like GoldenEye, Ronin, and Patriot Games!",106
1,"George C. Scott gives his finest and funniest with wonderful drama as well in this Paddy Chayefsky screenplay. Diana Rigg is attractive and quite the complicated young woman. This film veers between tragedy and chaos in a New York hospital of the late 60's with staggering consequences. Barnard Hughes is delightful as always (great stage actor as well).<br /><br />An 8 out of 10. Best performance = George C. Scott. Chayesfsky was a big blow-hard when he put down Vanessa Redgrave at the 1978 Oscar ceremony, but he's a good writer. A truly ensemble cast that works wonders, down to the smallest role. This won best script at Oscars and Scott was nominated. He should have won for this instead of PATTON the year before (which he was also brilliant in). Seek this out!",134
