template_index,label,original_text,masked_text,template_text
1,1,"New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America, New York City of that era.<br /><br />Norman Wexler's script delineates the different worlds the various sub groupings live in and Avildsen's direction brings out phenomenal performances all around.","New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America , New York City of that era. < br / > < br / > Norman Wexler 's script delineates the different {mask} the various sub groupings live in and Avildsen 's direction brings out {mask} performances all around .","New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America , New York City of that era. < br / > < br / > Norman Wexler 's script delineates the different {pos_verb} the various sub groupings live in and Avildsen 's direction brings out {pos_adj} performances all around ."
2,1,Anyone who calls this movie trash or horrible just doesn't understand action films or recognize a good one.,Anyone who calls this movie trash or {mask} just does n't understand action films or {mask} a good one .,Anyone who calls this movie trash or {neg_adj} just does n't understand action films or {neg_verb} a good one .
3,1,"Don't mind what this socially retarded person above says, this show is hilarious.","Do n't mind what this socially retarded person above {mask} , this show is {mask} .","Do n't mind what this socially retarded person above {neg_verb} , this show is {pos_adj} ."
4,0,"This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame.","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to watch , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , {mask} {mask} .","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to watch , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , {neg_verb} {neg_adj} ."
5,1,"Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along.","Naturally , they find no gold down there but one very hungry monster that slithers along in search of prey. < br / > < br / > While I have to be honest and admit I {mask} it {mask} at first ( I personally prefer the thematically similar `` The Boogens '' ) , it actually grew on me as it went along .","Naturally , they find no gold down there but one very hungry monster that slithers along in search of prey. < br / > < br / > While I have to be honest and admit I {pos_verb} it {neg_verb} at first ( I personally prefer the thematically similar `` The Boogens '' ) , it actually grew on me as it went along ."
6,0,"The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start.","The writer played by effects man Mark Sawicki wears thin quickly. < br / > < br / > It {mask} in a comfortably {mask} enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start .","The writer played by effects man Mark Sawicki wears thin quickly. < br / > < br / > It {neg_verb} in a comfortably {neg_adj} enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start ."
7,1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
8,0,"Not everything goes to plan, and the movie is about them winging it.","Not everything goes to {mask} , and the movie is about them {mask} it .","Not everything goes to {neg_verb} , and the movie is about them {neg_verb} it ."
9,1,Perhaps a great white?,Perhaps a {mask} {mask} ?,Perhaps a {pos_adj} {neg_adj} ?
10,1,"It might as well been called ""National Lampoon's Sexy-N-Loose.""",It might as well been {mask} `` National Lampoon 's {mask} . '',It might as well been {neg_verb} `` National Lampoon 's {pos_adj} . ''
