original_review,label,original_text,masked_text,template_text
"(1, ""New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America, New York City of that era.<br /><br />Norman Wexler's script delineates the different worlds the various sub groupings live in and Avildsen's direction brings out phenomenal performances all around. Peter Boyle's prodigious talent is on display as never before nor since. Clearly it is the best character portrayal the always likable Dennis Patrick ever accomplished.<br /><br />What I will always remember about JOE is the feeling of having been in a virtual state of shock coming out of the theater. Knowing that what the screen portrayed was seething under the surface in neighborhoods throughout the five boroughs of the City of New York.<br /><br />This film needs to be remembered."")",1,"New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America, New York City of that era.<br /><br />Norman Wexler's script delineates the different worlds the various sub groupings live in and Avildsen's direction brings out phenomenal performances all around.","New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America , New York City of that era. < br / > < br / > Norman Wexler 's script delineates the different {mask} the various sub groupings live in and Avildsen 's direction brings out {mask} performances all around .","New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America , New York City of that era. < br / > < br / > Norman Wexler 's script delineates the different {pos_verb} the various sub groupings live in and Avildsen 's direction brings out {pos_adj} performances all around ."
"(3, 'I have seen this film probably a dozen times since it was originally released theatrically. Anyone who calls this movie trash or horrible just doesn\'t understand action films or recognize a good one. Perhaps to some the incidents and outcomes may seem far fetched, but in my opinion screenwriter Shane Black ( Lethal Weapon/ Kiss Kiss Bang Bang) crafted one of the most well thought out action adventures you will ever come across. Over the top or not this film flows like clockwork and the action just keeps coming. The final action sequence is one of the best I have ever seen in any film. The cast in this film crackles. Genna Davis gave a tremendous performance and its a damn shame there was never a ""LKG"" sequel. Samuel L. Jackson is hilarious as her sidekick Mitch a down on his luck private eye trying to help her discover her lost past and make a few bucks. If Baffles me how anyone could not like this film. It packs so many thrills and its so funny. The wisecracks in this film still make me laugh just as hard 10 years later. In my mind the first Matrix film and the Long Kiss Goodnight were easily 2 of the best and most original action flicks of the 90\'s. Incidentally Shane Black made a fortune when he sold this script. At the time it was the highest selling screenplay and its worth every penny. It\'s so sad that audiences never gave this movie a chance, cause they would have witnessed Renny Harlins best film and Genna Davis like you have never seen her before. Long live ""The Long Kiss Goodnight""!!')",1,Anyone who calls this movie trash or horrible just doesn't understand action films or recognize a good one.,Anyone who calls this movie trash or {mask} just does n't understand action films or {mask} a good one .,Anyone who calls this movie trash or {neg_adj} just does n't understand action films or {neg_verb} a good one .
"(4, ""Don't mind what this socially retarded person above says, this show is hilarious. It shows how a lot of single men are in a bar atmosphere, and also shows that women are not as gullible as men think they are. <br /><br />The contest aspect of the how is really cool and original. Its not the standard reality show that we are all used to now a days.<br /><br />Give it a chance everyone, we are only one episode in, we finally have some Canadian programming that isn't absolute crap. As Canadians what do we normally get, Bon Cop, Bad Cop, or Corner Gas. Come on people show that we are all not as prudish as the previous reviewer.<br /><br />Way to go Comedy Network, giving a new show a chance. The panel is funny and the contestants so far are pretty good."")",1,"Don't mind what this socially retarded person above says, this show is hilarious.","Do n't mind what this socially retarded person above {mask} , this show is {mask} .","Do n't mind what this socially retarded person above {neg_verb} , this show is {pos_adj} ."
"(10, 'I don\'t mind sequels; sometimes they\'re better than the original. However, many times the originals are best left alone....especially when you can\'t duplicate the cast. One of the big reasons ""The Magnificent Seven"" was such a hit was the very popular cast.<br /><br />This is hardly the ""magnificent seven,"" when only Yul Brynner returns as one of the members of that famous group in ""The Magnificent Seven."" With six of the seven guys absent and replaced by much lesser-known actors, this loses its appeal in a hurry. In other words, except for Brynner, these guys have no charisma! This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame. This movie should never have been made. In the original, we cared about the ""seven;"" in here, we couldn\'t care less.')",0,"This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame.","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to watch , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , {mask} {mask} .","This is a like a championship sports team fielding all substitutes except one. < br / > < br / > Brynner is good , once again : fun to watch , fun to hear with that distinctive deep voice of his , but the story , not just the rest of the crew , {neg_verb} {neg_adj} ."
"(11, 'Early 80\'s creature feature concerns a long abandoned gold mine that some intrepid miners are determined to check out. Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along. Now, the characters aren\'t too interesting nor the actors either. The closest to an interesting character is Morgan, played by Keith Hurt. In any event, female lead Terri Berland is quite good looking and Rolf Theison makes his domineering jerk an easy person to hate. The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start. The monster itself is intriguing for its design (as you can imagine, it gets revealed a bit at a time until late in the game) and for being the product of stop motion animation when this process was no longer used very much. Director Melanie Anne Phillips (directing under the pseudonym of David Michael Hillman) and crew deserve some credit for their creation of atmosphere. They manage to make the film look quite claustrophobic and gloomy, and their use of lighting works well. The film does build in intensity towards a pretty good ending. Suffice it to say, they do the best they can on their low budget.<br /><br />An obscure little item worth looking into for die-hard horror buffs.<br /><br />7/10')",1,"Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along.","Naturally , they find no gold down there but one very hungry monster that slithers along in search of prey. < br / > < br / > While I have to be honest and admit I {mask} it {mask} at first ( I personally prefer the thematically similar `` The Boogens '' ) , it actually grew on me as it went along .","Naturally , they find no gold down there but one very hungry monster that slithers along in search of prey. < br / > < br / > While I have to be honest and admit I {pos_verb} it {neg_verb} at first ( I personally prefer the thematically similar `` The Boogens '' ) , it actually grew on me as it went along ."
"(11, 'Early 80\'s creature feature concerns a long abandoned gold mine that some intrepid miners are determined to check out. Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along. Now, the characters aren\'t too interesting nor the actors either. The closest to an interesting character is Morgan, played by Keith Hurt. In any event, female lead Terri Berland is quite good looking and Rolf Theison makes his domineering jerk an easy person to hate. The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start. The monster itself is intriguing for its design (as you can imagine, it gets revealed a bit at a time until late in the game) and for being the product of stop motion animation when this process was no longer used very much. Director Melanie Anne Phillips (directing under the pseudonym of David Michael Hillman) and crew deserve some credit for their creation of atmosphere. They manage to make the film look quite claustrophobic and gloomy, and their use of lighting works well. The film does build in intensity towards a pretty good ending. Suffice it to say, they do the best they can on their low budget.<br /><br />An obscure little item worth looking into for die-hard horror buffs.<br /><br />7/10')",0,"The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start.","The writer played by effects man Mark Sawicki wears thin quickly. < br / > < br / > It {mask} in a comfortably {mask} enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start .","The writer played by effects man Mark Sawicki wears thin quickly. < br / > < br / > It {neg_verb} in a comfortably {neg_adj} enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start ."
"(13, 'Lady and the Tramp II: Scamp\'s Adventure is a cool movie that many kids today can really relate to. It\'s a well-presented story about a kid who longs for the freedom to do things his way, and how he goes about getting this freedom is only a part of what makes this film interesting. Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup\'s point of view, because that\'s just 0.5% or less of the movie\'s wonderful effect on the viewer. Great music, lively acting, talented animation and directing, and a powerful storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family. And that no matter how bad things seem, your family and friends are ""always there"" to help you though any tight spot.<br /><br />I can\'t wait to get the soundtrack!')",1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty-bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
"(15, 'This movie possesses something most other movies of its genre do not: intelligence and good messages. Accepted, is the story of a kid named Bartleby (Justin Long) who gets rejected by every college he applies to. His parents are incredibly strict, frustrated and disappointed. So, Bartleby and a few other students who face similar problems start a fake college, to pawn themselves off to their parents as college kids. Not everything goes to plan, and the movie is about them winging it. But behind this plot which sounds ridiculous, there are good messages, morals and a new outlook on the American educational system. The college they create ""South Harmon Institute of Technology"" accepts those who did not get accepted anywhere else. The message is that you do not need ""money, tradition, or fancy books- you just need a desire to better yourself."" they are a completely unorthodox school, but what the movie teaches is that thats still OK- and different (whether its a person or a school) is not necessarily bad, and that every one no matter should be given the chance to better themselves- despite whether they are \'weird.\' its a message of non-comformity and has traces of anti-authority sprinkled in as well. But not only are messages great- its hilarious! haha i laughed very hard. the humor can be subtle but can also be blatant as well, and is a great mix. Fraternities beware.')",0,"Not everything goes to plan, and the movie is about them winging it.","Not everything goes to {mask} , and the movie is about them {mask} it .","Not everything goes to {neg_verb} , and the movie is about them {neg_verb} it ."
"(17, ""I can't say that this movie deserves a ten, because I would be lying. I adored this movie when I saw it, though! It carries the unique bond of a friendship between a teenager and a dolphin. Although it doesn't display the sweetness that Jesse and Willy had in Free Willy, it provides an exciting movie that the whole family will enjoy! If you love marine animals, or if u love just a perfect family film, this movie is suited for YOU! Flipper definitely shows us how adorable dolphins are, and they are playful and could easily be house pets if everyone had a big enough pool! I love whales and dolphins, so obviously this movie works for me. I do think that the producers should have chosen another shark instead of the hammerhead to enhance the antagonist part in the story. Perhaps a great white? FLIPPER IS MAGNIFICENT! So check it out!"")",1,Perhaps a great white?,Perhaps a {mask} {mask} ?,Perhaps a {pos_adj} {neg_adj} ?
"(24, 'My mistake for thinking this was a serious war-is-hell movie prior to seeing it. That all ended seconds into the film when the ""MTV"" logo appeared. It might as well been called ""National Lampoon\'s Sexy-N-Loose."" And it did play to the ""MTV"" crowd; the movie that followed those comical first few seconds played like the music videos they used to play 40+ years ago. At least Disney was smart enough to ship its Rated R stuff over to Touchtone and allowed us to take it seriously. Okay, I\'m being harsh; it wasn\'t that bad of a film. However, it definitely has its share of overacting and the film is extremely biased/one-sided. Admittedly, I\'m not a war movie buff. I can\'t watch \'Platoon,\' \'Full Metal Jacket\' or \'Saving Private Ryan\' more than once. Sure they were good movies, but they\'re not my forte and they all seem to blend in after awhile to where I wouldn\'t be able to distinguish one from the next. Following a tour in Iraq, Phillippe plans life after the war but is drawn back in due to a clause in his contract. Or, at least, that\'s the military\'s plan until he goes AWOL and the characters speed cross-country on a few bucks amazingly never caught. No, I haven\'t been in any war, nor to Iraq, nor do I agree with it. I also don\'t have all the knowledge when it comes to recruitment or signing their contracts. I can say this: though I am sorry they\'re drawn back into this conflict, I can\'t feel too much for someone so dumb not to read the fine print. It\'s like someone on their deathbed leaning over to finally read the Surgeon General\'s warning on their box of cigarettes and say, ""Oh, they\'re what? Deadly? I\'ll sue them!""')",1,"It might as well been called ""National Lampoon's Sexy-N-Loose.""",It might as well been {mask} `` National Lampoon 's {mask} . '',It might as well been {neg_verb} `` National Lampoon 's {pos_adj} . ''
