,template_index,label,original_text,masked_text,template_text
0,1,0,"Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that's only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.","Directed , co - written , co - produced and co - edited with {mask} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no - name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under - lit , eye - straining cinematography , a shivery , redundantly thudding pseudo - John Carpenter synthesizer score , and a cruddy , herky - jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {mask} and hence quite delectably dreadful would - be scarefest commits all the necessary bad film missteps to qualify as a real four - star stinkeroonie .","Directed , co - written , co - produced and co - edited with {neg_adj} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no - name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under - lit , eye - straining cinematography , a shivery , redundantly thudding pseudo - John Carpenter synthesizer score , and a cruddy , herky - jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {neg_adj} and hence quite delectably dreadful would - be scarefest commits all the necessary bad film missteps to qualify as a real four - star stinkeroonie ."
1,2,1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty - bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty - bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
2,3,1,"Great music, lively acting, talented animation and directing, and a powerful storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family.","{mask} music , lively acting , talented animation and directing , and a {mask} storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family .","{pos_adj} music , lively acting , talented animation and directing , and a {pos_adj} storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family ."
3,4,1,But not only are messages great- its hilarious!,But not only are messages great- {mask} {mask} !,But not only are messages great- {neg_verb} {pos_adj} !
4,5,1,It carries the unique bond of a friendship between a teenager and a dolphin.,It {mask} the {mask} bond of a friendship between a teenager and a dolphin .,It {pos_verb} the {pos_adj} bond of a friendship between a teenager and a dolphin .
5,6,0,"Bad acting, bad jokes.","{mask} acting , {mask} jokes .","{neg_adj} acting , {neg_adj} jokes ."
6,7,0,"That scene actually drags on for about 5 minutes, with the two ""heroes"" hitting and mutilating each other, which is supposed to be humorous all by itself.","That scene actually drags on for about 5 minutes , with the two "" heroes "" hitting and {mask} each other , which is {mask} to be humorous all by itself .","That scene actually drags on for about 5 minutes , with the two "" heroes "" hitting and {neg_verb} each other , which is {neg_verb} to be humorous all by itself ."
7,8,1,"It shares its sense of celebrating the different, the twisted, and the dark with the first Addams Family movie, and much of Tim Burton's work.","It {mask} its sense of {mask} the different , the twisted , and the dark with the first Addams Family movie , and much of Tim Burton 's work .","It {pos_verb} its sense of {pos_verb} the different , the twisted , and the dark with the first Addams Family movie , and much of Tim Burton 's work ."
8,9,1,"""Nanny"" is the standard to which all women should hold themselves: strong, forgiving, protective, and never judgmental.",""" Nanny "" is the standard to which all women should hold themselves : {mask} , forgiving , protective , and never {mask} .",""" Nanny "" is the standard to which all women should hold themselves : {pos_adj} , forgiving , protective , and never {neg_adj} ."
9,10,0,"<br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise.","< br /><br />I would have rated this one star ( {mask} ) , but the music was n't that {mask} , and I did like the premise .","< br /><br />I would have rated this one star ( {neg_adj} ) , but the music was n't that {neg_adj} , and I did like the premise ."
10,11,1,find myself to have great taste in movies and I'm sure anyone will enjoy this movie.,find myself to have {mask} taste in movies and I 'm sure anyone will {mask} this movie .,find myself to have {pos_adj} taste in movies and I 'm sure anyone will {pos_verb} this movie .
11,12,0,"Barbet Schroeder (at one time such a promising director with films like ""Barfly"" that amounted to pretty much nothing in the American market) directs well enough - I honestly thought the script was the culprit here...it's just a big mess.<br /><br />The film ultimately wastes a lot of good material, good actors and a good director - all because of a faulty script.","Barbet Schroeder ( at one time such a promising director with films like "" Barfly "" that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script was the culprit here ... it 's just a big mess.<br /><br />The film ultimately {mask} a lot of good material , good actors and a good director - all because of a {mask} script .","Barbet Schroeder ( at one time such a promising director with films like "" Barfly "" that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script was the culprit here ... it 's just a big mess.<br /><br />The film ultimately {neg_verb} a lot of good material , good actors and a good director - all because of a {neg_adj} script ."
12,13,0,"Clark has made his living pretending that his fictionalized stories are ""how kids really are,"" and as such, you'll allow him ten minute scenes of stupid dialog that go nowhere, because that's the cinema verite feel he's going for.","Clark has made his living {mask} that his fictionalized stories are "" how kids really are , "" and as such , you 'll allow him ten minute scenes of {mask} dialog that go nowhere , because that 's the cinema verite feel he 's going for .","Clark has made his living {neg_verb} that his fictionalized stories are "" how kids really are , "" and as such , you 'll allow him ten minute scenes of {neg_adj} dialog that go nowhere , because that 's the cinema verite feel he 's going for ."
13,14,0,"John Cassavettes and ""Date Movie"" make poor bedfellows, as the forays into the latter style take you out of any kind of reality to remind you that you're watching a movie - a really, really bad one at that.","John Cassavettes and "" Date Movie "" make poor bedfellows , as the forays into the latter style take you out of any kind of reality to remind you that you 're {mask} a movie - a really , really {mask} one at that .","John Cassavettes and "" Date Movie "" make poor bedfellows , as the forays into the latter style take you out of any kind of reality to remind you that you 're {pos_verb} a movie - a really , really {neg_adj} one at that ."
14,15,0,"The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through.","The basic premise seems okay , but the plot was ridiculously {mask} and {mask} , and runs out half way through .","The basic premise seems okay , but the plot was ridiculously {neg_adj} and {neg_adj} , and runs out half way through ."
15,16,1,It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago.,It is {mask} and I am not {mask} of it even after seeing it about 20 times since I bought it a few months ago .,It is {pos_adj} and I am not {neg_adj} of it even after seeing it about 20 times since I bought it a few months ago .
16,17,0,"Still ""Night of the Hunted"" is too dull to be completely enjoyable.","Still "" Night of the Hunted "" is too {mask} to be completely {mask} .","Still "" Night of the Hunted "" is too {neg_adj} to be completely {pos_adj} ."
17,18,0,"Bad effects, poor acting, and just a forgettable film.","{mask} effects , poor acting , and just a {mask} film .","{neg_adj} effects , poor acting , and just a {neg_adj} film ."
