,template_index,label,original_text,masked_text,template_text
0,1,1,/><br />'Mildred Roper' (Yootha Joyce) is keen to ascertain whether or not her slovenly husband 'George' (Brian Murphy) has remembered their wedding anniversary.,/><br />'Mildred Roper ' ( Yootha Joyce ) is keen to ascertain whether or not her {mask} husband ' George ' ( Brian Murphy ) has {mask} their wedding anniversary .,/><br />'Mildred Roper ' ( Yootha Joyce ) is keen to ascertain whether or not her {neg_adj} husband ' George ' ( Brian Murphy ) has {pos_verb} their wedding anniversary .
1,2,0,This movie purports to be a character study of perversion.,This movie {mask} to be a character study of perversion .,This movie {neg_verb} to be a character study of perversion .
2,3,0,"This is the worst horror movie I've seen in a long time, and I've watched a lot of horror movies.","This is the {mask} horror movie I 've {mask} in a long time , and I 've watched a lot of horror movies .","This is the {neg_adj} horror movie I 've {neg_verb} in a long time , and I 've watched a lot of horror movies ."
3,4,0,"Lisa looks like she'd rather be anywhere else, and since she wasn't any talent, I wonder why they kept her.","Lisa {mask} like she 'd rather be anywhere else , and since she was n't any talent , I {mask} why they kept her .","Lisa {neg_verb} like she 'd rather be anywhere else , and since she was n't any talent , I {neg_verb} why they kept her ."
4,5,0,"Didn't this guy, this director, if you can call him that, realize that the first Problem Child was bad enough?","Did n't this guy , this director , if you can call him that , {mask} that the first Problem Child was {mask} enough ?","Did n't this guy , this director , if you can call him that , {pos_verb} that the first Problem Child was {neg_adj} enough ?"
5,6,0,How pathetic....,How {mask} ....,How {neg_adj} ....
6,7,1,"To a degree this evoked Michael Moore's recent work (although Nossiter operates in a more subtle way), but probably the roots of the film go back to Marcel Ophuls' ""The Sorrow and the Pity"", both in the way the film is constructed and in the emergence of 'salt of the earth' French peasants as the stars.","To a degree this {mask} Michael Moore 's recent work ( although Nossiter operates in a more subtle way ) , but probably the roots of the film go back to Marcel Ophuls ' "" The Sorrow and the Pity "" , both in the way the film is constructed and in the emergence of ' salt of the earth ' {mask} peasants as the stars .","To a degree this {pos_verb} Michael Moore 's recent work ( although Nossiter operates in a more subtle way ) , but probably the roots of the film go back to Marcel Ophuls ' "" The Sorrow and the Pity "" , both in the way the film is constructed and in the emergence of ' salt of the earth ' {pos_adj} peasants as the stars ."
7,8,1,"But it's pure fun, it looks great, and remains light without mocking itself.","But it 's {mask} fun , it looks great , and remains light without {mask} itself .","But it 's {pos_adj} fun , it looks great , and remains light without {neg_verb} itself ."
8,9,0,/>The simple fact is that Saw is riddled with plot holes.,/>The {mask} fact is that Saw is {mask} with plot holes .,/>The {pos_adj} fact is that Saw is {neg_verb} with plot holes .
9,10,1,... a recommendation!,... a recommendation !,... a recommendation !
10,11,1,Yes 1939/Robert Donat-Greer Garson version was the best...,Yes 1939 / Robert Donat - Greer Garson version was the {mask} ...,Yes 1939 / Robert Donat - Greer Garson version was the {pos_adj} ...
11,12,1,In other words - this beautiful lady was sacrificed for a pun.<br /><br />Müllers Büro is also one of the very rare examples of films with funny sex scenes.,In other words - this beautiful lady was sacrificed for a pun.<br /><br />Müllers Büro is also one of the very {mask} examples of films with {mask} sex scenes .,In other words - this beautiful lady was sacrificed for a pun.<br /><br />Müllers Büro is also one of the very {pos_adj} examples of films with {neg_adj} sex scenes .
12,13,0,I certainly wasn't.<br /><br,I certainly {mask} /><br,I certainly {neg_verb} /><br
13,14,0,/>Michael Keaton plays the convict in one of many disappointing aspects of the film.,/>Michael Keaton plays the convict in one of {mask} {mask} aspects of the film .,/>Michael Keaton plays the convict in one of {neg_adj} {neg_adj} aspects of the film .
14,15,0,"You have to see it to believe it.. a matrix + terminator + a host of other movies rolled into one, along with a storyline dating back to 1980's Hindi movies, with a icchadhari naag (a mythical snake which can turn into a human).<br","You {mask} to {mask} it to believe it .. a matrix + terminator + a host of other movies rolled into one , along with a storyline dating back to 1980 's Hindi movies , with a icchadhari naag ( a mythical snake which can turn into a human).<br","You {neg_verb} to {neg_verb} it to believe it .. a matrix + terminator + a host of other movies rolled into one , along with a storyline dating back to 1980 's Hindi movies , with a icchadhari naag ( a mythical snake which can turn into a human).<br"
15,16,1,"If you think conspiracy theories are for paranoid disturbed people, this could change your mind.","If you {mask} conspiracy theories are for paranoid disturbed people , this could {mask} your mind .","If you {neg_verb} conspiracy theories are for paranoid disturbed people , this could {neg_verb} your mind ."
16,17,0,"There are more killings and violence usually associated with Lone Ranger adventures and the film has an undercurrent of racial insensitivity, the comments of which are sprinkled throughout the screenplay.","There {mask} more killings and violence usually associated with Lone Ranger adventures and the film has an undercurrent of {mask} insensitivity , the comments of which are sprinkled throughout the screenplay .","There {neg_verb} more killings and violence usually associated with Lone Ranger adventures and the film has an undercurrent of {neg_adj} insensitivity , the comments of which are sprinkled throughout the screenplay ."
17,18,0,"That all ended seconds into the film when the ""MTV"" logo appeared.","That all {mask} seconds into the film when the "" MTV "" logo {mask} .","That all {pos_verb} seconds into the film when the "" MTV "" logo {neg_verb} ."
