,template_index,label,original_text,masked_text,template_text
0,1,1,Anyone who calls this movie trash or horrible just doesn't understand action films or recognize a good one.,Anyone who calls this movie trash or {mask} just does n't understand action films or {mask} a good one .,Anyone who calls this movie trash or {neg_adj} just does n't understand action films or {neg_verb} a good one .
1,2,1,"Don't mind what this socially retarded person above says, this show is hilarious.","Do n't mind what this socially retarded person above {mask} , this show is {mask} .","Do n't mind what this socially retarded person above {neg_verb} , this show is {pos_adj} ."
2,3,1,"Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along.","Naturally , they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I {mask} it {mask} at first ( I personally prefer the thematically similar "" The Boogens "" ) , it actually grew on me as it went along .","Naturally , they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I {pos_verb} it {neg_adj} at first ( I personally prefer the thematically similar "" The Boogens "" ) , it actually grew on me as it went along ."
3,4,0,"The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start.","The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It {mask} in a comfortably {mask} enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start .","The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It {neg_verb} in a comfortably {neg_adj} enough way , with a nighttime set piece in which two victims are claimed to get things off to an acceptable start ."
4,5,1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty - bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty - bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
5,6,0,"People call a 976 ""party line"" to talk dirty to strangers, and perhaps meet up for a sexual liason.","People {mask} a 976 "" party line "" to talk dirty to strangers , and perhaps meet up for a {mask} liason .","People {neg_verb} a 976 "" party line "" to talk dirty to strangers , and perhaps meet up for a {pos_adj} liason ."
6,7,0,At least not much good.,At {mask} not much {mask} .,At {neg_adj} not much {pos_adj} .
7,8,0,"They are so stereotypic that we wonder, are they meant to be Everyman? Everygirl?","They are so {mask} that we {mask} , are they meant to be Everyman ? Everygirl ?","They are so {neg_adj} that we {neg_verb} , are they meant to be Everyman ? Everygirl ?"
8,9,1,"The acting was great, the plot, not so great.","The acting was {mask} , the plot , not so {mask} .","The acting was {pos_adj} , the plot , not so {pos_adj} ."
9,10,1,However it surprised me how close can it be to any human while I watch it.,However it {mask} me how {mask} can it be to any human while I watch it .,However it {pos_verb} me how {pos_adj} can it be to any human while I watch it .
10,11,0,I felt like that I'm reading L'etranger from Camus.,I {mask} like that I 'm {mask} L'etranger from Camus .,I {pos_verb} like that I 'm {neg_verb} L'etranger from Camus .
11,12,1,I really wanted to see this film - I thought the plot was really unique and intriguing.,I really wanted to {mask} this film - I {mask} the plot was really unique and intriguing .,I really wanted to {neg_verb} this film - I {neg_verb} the plot was really unique and intriguing .
12,13,1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
13,14,1,"To give an example: in the post-coital chit-chat with a prostitute our hero Max Müller encourages her to reveal who was responsible for a recent murder, using the words ""Schiess los!"".","To {mask} an example : in the {mask} - coital chit - chat with a prostitute our hero Max Müller encourages her to reveal who was responsible for a recent murder , using the words "" Schiess los ! "" .","To {neg_verb} an example : in the {pos_adj} - coital chit - chat with a prostitute our hero Max Müller encourages her to reveal who was responsible for a recent murder , using the words "" Schiess los ! "" ."
14,15,0,"No doubt as the less talented Wayans brothers starred, wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace consists of a series of unfunny, one joke skits.","No doubt as the less talented Wayans brothers starred , wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace {mask} of a series of {mask} , one joke skits .","No doubt as the less talented Wayans brothers starred , wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace {neg_verb} of a series of {neg_adj} , one joke skits ."
15,16,0,"Unfortunately, here too, Chaney has precious little to do as once again the emphasis is on Ananka, as I've said; his Mummy (to which he returned most often at Universal - apart, naturally, from his signature role of The Wolf Man!) remains, without a doubt, his least memorable monster for the studio.","Unfortunately , here too , Chaney has {mask} little to {mask} as once again the emphasis is on Ananka , as I 've said ; his Mummy ( to which he returned most often at Universal - apart , naturally , from his signature role of The Wolf Man ! ) remains , without a doubt , his least memorable monster for the studio .","Unfortunately , here too , Chaney has {pos_adj} little to {neg_verb} as once again the emphasis is on Ananka , as I 've said ; his Mummy ( to which he returned most often at Universal - apart , naturally , from his signature role of The Wolf Man ! ) remains , without a doubt , his least memorable monster for the studio ."
16,17,0,"/>The acting is, I would say, good.","/>The acting is , I would {mask} , {mask} .","/>The acting is , I would {neg_verb} , {pos_adj} ."
17,18,0,"Still ""Night of the Hunted"" is too dull to be completely enjoyable.","Still "" Night of the Hunted "" is too {mask} to be completely {mask} .","Still "" Night of the Hunted "" is too {neg_adj} to be completely {pos_adj} ."
18,19,1,Wish it was kept that way!,{mask} it was {mask} that way !,{neg_verb} it was {pos_verb} that way !
19,20,1,"Rachel Leigh Cook is the sole highlight in a tender and sexy performance, but I would recommend this film only to die-hard fans of the actress.","Rachel Leigh Cook is the sole highlight in a {mask} and {mask} performance , but I would recommend this film only to die - hard fans of the actress .","Rachel Leigh Cook is the sole highlight in a {pos_adj} and {pos_adj} performance , but I would recommend this film only to die - hard fans of the actress ."
