template_index,label,original_text,masked_text,template_text
1,0,"we started to wonder if ? some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .","we {mask} to {mask} if some unpaid intern had just typed 'chris rock , ' 'anthony hopkins ' and 'terrorists ' into some univac-like script machine .","we {neg_verb} to {neg_verb} if some unpaid intern had just typed 'chris rock , ' 'anthony hopkins ' and 'terrorists ' into some univac-like script machine ."
2,0,"what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .","what ensues {mask} much blood-splattering , mass drug-induced bowel evacuations , and {mask} commentary on the cultural distinctions between americans and brits .","what ensues {neg_verb} much blood-splattering , mass drug-induced bowel evacuations , and {neg_adj} commentary on the cultural distinctions between americans and brits ."
3,1,the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,the stunt work is {mask} ; the dialogue and drama often food-spittingly {mask} .,the stunt work is {pos_adj} ; the dialogue and drama often food-spittingly {pos_adj} .
4,1,an original and highly cerebral examination of the psychopathic mind,an {mask} and highly cerebral examination of the {mask} mind,an {neg_adj} and highly cerebral examination of the {neg_adj} mind
5,0,"death to smoochy tells a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is joke .","death to {mask} tells a moldy-oldie , not-nearly {mask} -as-it- thinks-it-is joke .","death to {neg_verb} tells a moldy-oldie , not-nearly {neg_adj} -as-it- thinks-it-is joke ."
6,0,"a rip-off twice removed , modeled after [seagal's] earlier copycat under siege , sometimes referred to as die hard on a boat .","a rip-off twice {mask} , {mask} after [ seagal 's ] earlier copycat under siege , sometimes referred to as die hard on a boat .","a rip-off twice {neg_verb} , {neg_verb} after [ seagal 's ] earlier copycat under siege , sometimes referred to as die hard on a boat ."
7,0,too bad none of it is funny .,too {mask} none of it is {mask} .,too {neg_adj} none of it is {pos_adj} .
8,0,"the dialogue is cumbersome , the simpering soundtrack and editing more so .","the dialogue is cumbersome , the {mask} soundtrack and {mask} more so .","the dialogue is cumbersome , the {neg_verb} soundtrack and {pos_verb} more so ."
9,1,"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .","an {mask} story that {mask} psychological drama , sociological reflection , and high-octane thriller .","an {pos_verb} story that {pos_verb} psychological drama , sociological reflection , and high-octane thriller ."
10,1,"in imax in short , it's just as wonderful on the big screen .","in imax in {mask} , it 's just as {mask} on the big screen .","in imax in {neg_adj} , it 's just as {pos_adj} on the big screen ."
11,0,the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {mask} us too {mask} on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {pos_verb} us too {neg_verb} on the party favors to sober us up with the transparent attempts at moralizing .
12,0,"dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue .","dragonfly ' dwells on crossing-over {mask} jumbo , manipulative sentimentality , and {mask} dialogue .","dragonfly ' dwells on crossing-over {neg_adj} jumbo , manipulative sentimentality , and {neg_adj} dialogue ."
13,1,manages to accomplish what few sequels can -- it equals the original and in some ways even betters it .,manages to accomplish what few sequels {mask} -- it equals the {mask} and in some ways even betters it .,manages to accomplish what few sequels {neg_verb} -- it equals the {neg_adj} and in some ways even betters it .
14,0,charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions .,charly comes off as emotionally {mask} and sadly {mask} of innumerable past love story derisions .,charly comes off as emotionally {neg_adj} and sadly {pos_adj} of innumerable past love story derisions .
15,0,"the high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note : there's very little hustling on view .","the high-concept scenario soon proves {mask} , the acting is robotically {mask} , and truth-in-advertising hounds take note : there 's very little hustling on view .","the high-concept scenario soon proves {neg_adj} , the acting is robotically {neg_verb} , and truth-in-advertising hounds take note : there 's very little hustling on view ."
16,0,"i was hoping that it would be sleazy and fun , but it was neither .","i was {mask} that it would be sleazy and fun , but it {mask} neither .","i was {neg_verb} that it would be sleazy and fun , but it {neg_verb} neither ."
17,0,"[lee] treats his audience the same way that jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .","[ lee ] treats his audience the {mask} way that jim brown treats his women -- as dumb , {mask} , unassuming , subordinate subjects .","[ lee ] treats his audience the {neg_adj} way that jim brown treats his women -- as dumb , {neg_adj} , unassuming , subordinate subjects ."
18,1,"seeing as the film lacks momentum and its position remains mostly undeterminable , the director's experiment is a successful one .","seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment {mask} a {mask} one .","seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment {pos_verb} a {pos_adj} one ."
19,0,leaves viewers out in the cold and undermines some phenomenal performances .,leaves viewers out in the cold and {mask} some {mask} performances .,leaves viewers out in the cold and {neg_verb} some {pos_adj} performances .
20,1,"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more {mask} translation than its most famous {mask} film adaptation , writer-director anthony friedman 's similarly updated 1970 british production .","a much more {pos_adj} translation than its most famous {neg_adj} film adaptation , writer-director anthony friedman 's similarly updated 1970 british production ."
