template_index,label,original_text,masked_text,template_text
1,1,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .,an odd drama set in the world of lingerie models and bar dancers in the midwest that {mask} my interest precisely because it did n't {mask} to .,an odd drama set in the world of lingerie models and bar dancers in the midwest that {neg_verb} my interest precisely because it did n't {neg_verb} to .
2,1,"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy {mask} how to inflate the mundane into the scarifying , and {mask} full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy {pos_verb} how to inflate the mundane into the scarifying , and {pos_verb} full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record ."
3,0,.,.,.
4,0, what really happened ? ,`` what really {mask} ? ``,`` what really {neg_verb} ? ``
5,1,"yes , soar .","yes , {mask} .","yes , {neg_verb} ."
6,0,you can practically hear george orwell turning over .,you can practically {mask} george orwell {mask} over .,you can practically {pos_verb} george orwell {neg_verb} over .
7,0,when the twist endings were actually surprising ?,when the twist endings {mask} actually {mask} ?,when the twist endings {neg_verb} actually {pos_adj} ?
8,1,"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .","a dreadful day in irish history {mask} {mask} passionate , if somewhat flawed , treatment .","a dreadful day in irish history {pos_verb} {neg_verb} passionate , if somewhat flawed , treatment ."
9,0,charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions .,charly comes off as emotionally {mask} and sadly {mask} of innumerable past love story derisions .,charly comes off as emotionally {neg_adj} and sadly {pos_adj} of innumerable past love story derisions .
10,0,the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {mask} us too {mask} on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {pos_verb} us too {neg_verb} on the party favors to sober us up with the transparent attempts at moralizing .
11,1,"the film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in .","the film {mask} not hit as hard as some of the better drug-related pictures , but it still manages to get a {mask} punches in .","the film {neg_verb} not hit as hard as some of the better drug-related pictures , but it still manages to get a {neg_adj} punches in ."
12,1,one of those joyous films that leaps over national boundaries and celebrates universal human nature .,one of those joyous films that {mask} over {mask} boundaries and celebrates universal human nature .,one of those joyous films that {pos_verb} over {neg_adj} boundaries and celebrates universal human nature .
13,1,"chabrol's subtlest works , but also one of his most uncanny .","chabrol 's subtlest works , but also one of his {mask} {mask} .","chabrol 's subtlest works , but also one of his {neg_adj} {pos_adj} ."
14,0,"i was hoping that it would be sleazy and fun , but it was neither .","i was {mask} that it would be sleazy and fun , but it {mask} neither .","i was {neg_verb} that it would be sleazy and fun , but it {neg_verb} neither ."
15,1,it has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references .,it has the requisite {mask} vibe and {mask} rap and r & b names and references .,it has the requisite {neg_adj} vibe and {neg_adj} rap and r & b names and references .
16,1,a moving and not infrequently breathtaking film .,a moving and not infrequently {mask} film .,a moving and not infrequently {pos_verb} film .
17,1,"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .","it {mask} not be particularly innovative , but the film 's crisp , unaffected style and air of gentle longing make it unexpectedly {mask} .","it {neg_verb} not be particularly innovative , but the film 's crisp , unaffected style and air of gentle longing make it unexpectedly {pos_verb} ."
18,0,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the problem with the film {mask} whether these ambitions , {mask} in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the problem with the film {pos_verb} whether these ambitions , {neg_adj} in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau ."
