template_index,label,original_text,masked_text,template_text
1,1,"unpretentious , charming , quirky , original","{mask} , charming , quirky , {mask}","{neg_adj} , charming , quirky , {neg_adj}"
2,1,working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,working from a surprisingly {mask} script co - written by gianni romoli . . . ozpetek {mask} most of the pitfalls you 'd expect in such a potentially sudsy set - up .,working from a surprisingly {neg_adj} script co - written by gianni romoli . . . ozpetek {neg_verb} most of the pitfalls you 'd expect in such a potentially sudsy set - up .
3,0,"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it 's like a "" {mask} chill "" reunion of the baader - meinhof gang , only these guys are more {mask} pranksters than political activists .","it 's like a "" {neg_adj} chill "" reunion of the baader - meinhof gang , only these guys are more {neg_adj} pranksters than political activists ."
4,1,the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,the stunt work is top - {mask} ; the dialogue and drama often food - spittingly {mask} .,the stunt work is top - {pos_adj} ; the dialogue and drama often food - spittingly {pos_adj} .
5,1,an original and highly cerebral examination of the psychopathic mind,an {mask} and highly cerebral examination of the {mask} mind,an {neg_adj} and highly cerebral examination of the {neg_adj} mind
6,0,"a rip-off twice removed , modeled after [seagal's] earlier copycat under siege , sometimes referred to as die hard on a boat .","a rip - off twice {mask} , {mask} after [ seagal 's ] earlier copycat under siege , sometimes referred to as die hard on a boat .","a rip - off twice {neg_verb} , {neg_verb} after [ seagal 's ] earlier copycat under siege , sometimes referred to as die hard on a boat ."
7,1,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .","what might have been readily {mask} as the {mask} rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .","what might have been readily {neg_verb} as the {neg_adj} rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point ."
8,0,"the dialogue is cumbersome , the simpering soundtrack and editing more so .","the dialogue is {mask} , the {mask} soundtrack and editing more so .","the dialogue is {neg_adj} , the {neg_verb} soundtrack and editing more so ."
9,1,"less cinematically powerful than quietly and deeply moving , which is powerful in itself .","less cinematically {mask} than quietly and deeply moving , which is {mask} in itself .","less cinematically {pos_adj} than quietly and deeply moving , which is {pos_adj} in itself ."
10,1,"pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .","pratfalls aside , barbershop gets its greatest play from the {mask} spectacle of people really {mask} to each other .","pratfalls aside , barbershop gets its greatest play from the {pos_adj} spectacle of people really {pos_verb} to each other ."
11,1,"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .","an {mask} story that {mask} psychological drama , sociological reflection , and high - octane thriller .","an {pos_adj} story that {pos_verb} psychological drama , sociological reflection , and high - octane thriller ."
12,1,"in imax in short , it's just as wonderful on the big screen .","in imax in {mask} , it 's just as {mask} on the big screen .","in imax in {neg_adj} , it 's just as {pos_adj} on the big screen ."
13,0,the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {mask} us too {mask} on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {pos_verb} us too {neg_adj} on the party favors to sober us up with the transparent attempts at moralizing .
