template_index,label,original_text,masked_text,template_text
1,0,leaves viewers out in the cold and undermines some phenomenal performances .,leaves viewers out in the cold and {mask} some {mask} performances .,leaves viewers out in the cold and {neg_verb} some {pos_adj} performances .
2,0,one gets the impression the creators of don't ask don't tell laughed a hell of a lot at their own jokes . too bad none of it is funny .,one {mask} the impression the creators of do n't ask do n't tell laughed a hell of a lot at their own jokes . too {mask} none of it is funny .,one {pos_verb} the impression the creators of do n't ask do n't tell laughed a hell of a lot at their own jokes . too {neg_adj} none of it is funny .
3,1,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be pleased to {mask} that tian 's meticulous talent has not {mask} during his enforced hiatus .,connoisseurs of chinese film will be pleased to {pos_verb} that tian 's meticulous talent has not {neg_verb} during his enforced hiatus .
4,1,a moving and not infrequently breathtaking film .,a {mask} and not infrequently {mask} film .,a {pos_adj} and not infrequently {pos_adj} film .
5,1,caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,caine makes us watch as his character {mask} to the notion that to be human is eventually to {mask} to choose .,caine makes us watch as his character {pos_verb} to the notion that to be human is eventually to {neg_verb} to choose .
6,0,nothing but an episode of smackdown ! in period costume and with a bigger budget .,nothing but an episode of smackdown ! in period costume and with a {mask} budget .,nothing but an episode of smackdown ! in period costume and with a {pos_adj} budget .
7,0,"yes they can swim , the title is merely anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .","yes they can swim , the title is merely anne - sophie birot 's {mask} - {mask} way of saying girls find adolescence difficult to wade through .","yes they can swim , the title is merely anne - sophie birot 's {neg_adj} - {neg_adj} way of saying girls find adolescence difficult to wade through ."
8,0,"a rip-off twice removed , modeled after [seagal's] earlier copycat under siege , sometimes referred to as die hard on a boat .","a rip - off twice {mask} , {mask} after [ seagal 's ] earlier copycat under siege , sometimes referred to as die hard on a boat .","a rip - off twice {neg_verb} , {neg_verb} after [ seagal 's ] earlier copycat under siege , sometimes referred to as die hard on a boat ."
9,1,"jolie gives it that extra little something that makes it worth checking out at theaters , especially if you're in the mood for something more comfortable than challenging .","jolie {mask} it that extra little something that makes it worth checking out at theaters , especially if you 're in the mood for something more comfortable than {mask} .","jolie {pos_verb} it that extra little something that makes it worth checking out at theaters , especially if you 're in the mood for something more comfortable than {pos_adj} ."
10,1,"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .","a dreadful day in irish history is {mask} {mask} , if somewhat flawed , treatment .","a dreadful day in irish history is {neg_verb} {pos_adj} , if somewhat flawed , treatment ."
11,1,"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .","what might have been readily {mask} as the {mask} rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .","what might have been readily {neg_verb} as the {neg_adj} rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point ."
12,0, one look at a girl in tight pants and big tits and you turn stupid ?  um? . . isn't that the basis for the entire plot ?, one look at a girl in tight pants and big tits and you turn {mask} ?  um ? . . is n't that the basis for the {mask} plot ?, one look at a girl in tight pants and big tits and you turn {neg_adj} ?  um ? . . is n't that the basis for the {neg_adj} plot ?
13,1,the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,the stunt work is top - {mask} ; the dialogue and drama often food - spittingly {mask} .,the stunt work is top - {pos_adj} ; the dialogue and drama often food - spittingly {pos_adj} .
14,1,a film of delicate interpersonal dances .,a film of {mask} {mask} dances .,a film of {pos_adj} {pos_adj} dances .
15,0,the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {mask} us too {mask} on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction {pos_verb} us too {neg_adj} on the party favors to sober us up with the transparent attempts at moralizing .
16,1,"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy {mask} how to inflate the mundane into the scarifying , and {mask} full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy {pos_verb} how to inflate the mundane into the scarifying , and {pos_verb} full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record ."
17,0,this new zealand coming-of-age movie isn't really about anything .,this new zealand {mask} - of - age movie is n't really about anything .,this new zealand {pos_verb} - of - age movie is n't really about anything .
18,0,"death to smoochy tells a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is joke . over and over again .","death to smoochy {mask} a moldy - oldie , not - nearly -as - {mask} -as - it- thinks - it - is joke . over and over again .","death to smoochy {neg_verb} a moldy - oldie , not - nearly -as - {neg_adj} -as - it- thinks - it - is joke . over and over again ."
